year,month,day,cases
2022,11,21,496
2022,11,22,314
2022,11,23,276
2022,11,24,273
2022,11,25,147
2022,11,26,24
2022,11,27,10
2022,11,28,500
2022,11,29,306
2022,11,30,271
2022,12,1,279
2022,12,2,195
2022,12,3,8
2022,12,4,11
2022,12,5,448
2022,12,6,393
2022,12,7,322
2022,12,8,285
2022,12,9,288
2022,12,10,11
2022,12,11,6
2022,12,12,534
2022,12,13,399
2022,12,14,341
2022,12,15,299
2022,12,16,263
2022,12,17,8
2022,12,18,5
2022,12,19,610
2022,12,20,459
2022,12,21,444
2022,12,22,367
2022,12,23,348
2022,12,24,6
2022,12,25,10
2022,12,26,13
2022,12,27,766
2022,12,28,366
2022,12,29,332
2022,12,30,197
2022,12,31,14
2023,1,1,17
2023,1,2,368
2023,1,3,249
2023,1,4,287
2023,1,5,164
2023,1,6,2
2023,1,7,11
2023,1,8,10
2023,1,9,539
2023,1,10,303
2023,1,11,246
2023,1,12,185
2023,1,13,125
2023,1,14,5
2023,1,15,2
2023,1,16,277
2023,1,17,153
2023,1,18,173
2023,1,19,115
2023,1,20,148
2023,1,21,2
2023,1,22,6
2023,1,23,237
2023,1,24,197
2023,1,25,183
2023,1,26,190
2023,1,27,151
2023,1,28,4
2023,1,29,8
2023,1,30,374
2023,1,31,307
2023,2,1,230
2023,2,2,233
2023,2,3,220
2023,2,4,8
2023,2,5,6
2023,2,6,358
2023,2,7,299
2023,2,8,349
2023,2,9,279
2023,2,10,284
2023,2,11,7
2023,2,12,16
2023,2,13,469
2023,2,14,331
2023,2,15,315
2023,2,16,275
2023,2,17,217
2023,2,18,10
2023,2,19,13
2023,2,20,480
2023,2,21,238
2023,2,22,382
2023,2,23,260
2023,2,24,226
2023,2,25,2
2023,2,26,3
2023,2,27,255
2023,2,28,259
